Control Box No.76(Total),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
67,0.00000000,0.00000000,0.00000000,0.15666038,-0.25491923,-0.30228898,-0.44201601,-0.22582966,0.28667590,0.50393128,0.08900880,-0.11199632,0.00199662,-0.05627862,-0.17229138,-0.46549600,-0.12734036,-0.64355958,-0.16343255,0.00000000,0.00000000,0.00000000,0,16:49:18.0,0,0
68,0.00000000,0.00000000,0.00000000,0.13261801,-0.32755953,-0.34752175,-0.48811543,-0.25250736,0.22270361,0.53157914,0.10381843,-0.15596011,-0.03197956,-0.11158947,-0.21555722,-0.50609183,-0.17130806,-0.68394649,-0.18363963,0.00000000,0.00000000,0.00000000,0,16:49:18.0,0,0
69,0.00000000,0.00000000,0.00000000,0.08805098,-0.40610096,-0.40930080,-0.55193794,-0.29397419,0.12715887,0.48590994,0.09096023,-0.20366108,-0.09049684,-0.17600906,-0.26051158,-0.54485655,-0.22176543,-0.71282852,-0.21199083,0.00000000,0.00000000,0.00000000,0,16:49:19.0,0,0
70,0.00000000,0.00000000,0.00000000,0.04421392,-0.50536579,-0.48671833,-0.63095105,-0.34571797,0.02935480,0.47454160,0.08566693,-0.26108700,-0.15106682,-0.24996838,-0.30737683,-0.59438813,-0.26700360,-0.75466561,-0.24207003,0.00000000,0.00000000,0.00000000,0,16:49:19.0,0,0
71,0.00000000,0.00000000,0.00000000,0.10645622,-0.31299466,-0.36343557,-0.50838757,-0.26393908,0.26743391,0.46926785,0.08473697,-0.12563258,-0.02467306,-0.07834435,-0.17185718,-0.47361279,-0.13121888,-0.65304255,-0.19414358,0.00000000,0.00000000,0.00000000,0,16:49:19.0,0,0
72,0.00000000,0.00000000,0.00000000,0.13868293,-0.28249821,-0.33113274,-0.47610909,-0.25577265,0.30192593,0.48214179,0.08992281,-0.10177863,-0.01030195,-0.06489266,-0.14709868,-0.46681288,-0.12814055,-0.66123354,-0.20020899,0.00000000,0.00000000,0.00000000,0,16:49:19.0,0,0
73,0.00000000,0.00000000,0.00000000,0.09517287,-0.33419135,-0.36989295,-0.50944316,-0.28370029,0.22126016,0.44567788,0.08078674,-0.13577719,-0.05942388,-0.11774152,-0.18720362,-0.47865888,-0.16430327,-0.67721635,-0.21592395,0.00000000,0.00000000,0.00000000,0,16:49:19.0,0,0
74,0.00000000,0.00000000,0.00000000,0.07406852,-0.41110569,-0.42231059,-0.55956411,-0.31292865,0.12742008,0.42045581,0.07641121,-0.18981838,-0.10936010,-0.17635377,-0.24185188,-0.50706625,-0.21011651,-0.70659047,-0.24102938,0.00000000,0.00000000,0.00000000,0,16:49:20.0,0,0
75,0.00000000,0.00000000,0.00000000,0.02960961,-0.50195938,-0.49252838,-0.63084280,-0.35433868,0.01845632,0.40012315,0.06836601,-0.25711656,-0.16931209,-0.24921970,-0.30242884,-0.54759955,-0.26740551,-0.74453259,-0.27051988,0.00000000,0.00000000,0.00000000,0,16:49:20.0,0,0
76,0.00000000,0.00000000,0.00000000,0.06853224,-0.36243737,-0.39930540,-0.54448593,-0.29456550,0.19427902,0.41334105,0.06744963,-0.16762444,-0.07101372,-0.11689401,-0.20778766,-0.46036214,-0.14584838,-0.66877675,-0.23071903,0.00000000,0.00000000,0.00000000,0,16:49:20.0,0,0
