Control Box No.76(Oxy),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
30,0.00000000,0.00000000,0.00000000,-0.11854235,-0.24539489,-0.02314102,-0.06408285,-0.07004528,0.01853516,-0.12238138,-0.10336880,-0.11958341,-0.06037489,-0.09415624,-0.04722802,-0.11767513,-0.27809289,-0.02118740,-0.09164969,0.00000000,0.00000000,0.00000000,0,16:49:44.0,0,0
31,0.00000000,0.00000000,0.00000000,-0.14501213,-0.31887671,-0.03539483,-0.07812107,-0.12582834,0.02099157,-0.13316336,-0.12307185,-0.14367867,-0.07157239,-0.14440092,-0.05710813,-0.13542193,-0.31989425,-0.02642120,-0.09199548,0.00000000,0.00000000,0.00000000,0,16:49:44.0,0,0
32,0.00000000,0.00000000,0.00000000,-0.08132071,-0.08033612,-0.01161491,-0.04447370,0.07037747,0.02317405,-0.11122116,-0.11313906,-0.10331424,-0.04613531,0.02234319,-0.02057401,-0.06935662,-0.12953210,-0.00853907,-0.07698629,0.00000000,0.00000000,0.00000000,0,16:49:44.0,0,0
33,0.00000000,0.00000000,0.00000000,-0.07081179,-0.06952021,-0.00731823,-0.03741742,0.07638395,0.02495322,-0.10420531,-0.09909671,-0.10349911,-0.04131544,0.02362467,-0.02667620,-0.06556134,-0.14519511,-0.00670362,-0.07411658,0.00000000,0.00000000,0.00000000,0,16:49:44.0,0,0
34,0.00000000,0.00000000,0.00000000,-0.07703348,-0.12774490,-0.01049370,-0.04729309,0.02892048,0.01790752,-0.10941732,-0.10308878,-0.12193898,-0.05145366,-0.01999190,-0.02887605,-0.08699404,-0.20028426,-0.00929308,-0.07802009,0.00000000,0.00000000,0.00000000,0,16:49:44.0,0,0
35,0.00000000,0.00000000,0.00000000,-0.10265051,-0.19354329,-0.02165143,-0.06237406,-0.02742452,0.02181606,-0.11582477,-0.11459842,-0.11612765,-0.06550080,-0.06532845,-0.04084884,-0.11075684,-0.25847292,-0.01957393,-0.09121346,0.00000000,0.00000000,0.00000000,0,16:49:45.0,0,0
36,0.00000000,0.00000000,0.00000000,-0.05957565,-0.00421803,-0.01069588,-0.04946493,0.12371953,0.02329654,-0.10734131,-0.12517618,-0.10751835,-0.05157104,0.06803391,-0.03255195,-0.05513532,-0.09064801,-0.01116192,-0.08452162,0.00000000,0.00000000,0.00000000,0,16:49:45.0,0,0
37,0.00000000,0.00000000,0.00000000,-0.04766719,0.00857200,-0.00528032,-0.03185157,0.13335125,0.02136982,-0.09614883,-0.10258687,-0.09304203,-0.04221999,0.07224931,-0.02792320,-0.05773263,-0.10011029,-0.00309861,-0.07805609,0.00000000,0.00000000,0.00000000,0,16:49:45.0,0,0
38,0.00000000,0.00000000,0.00000000,-0.04469242,-0.02060810,-0.00817423,-0.03933776,0.10869364,0.02567846,-0.10403972,-0.10822026,-0.10578304,-0.05121031,0.04097681,-0.03108399,-0.06997509,-0.14677554,-0.01460770,-0.08946560,0.00000000,0.00000000,0.00000000,0,16:49:45.0,0,0
39,0.00000000,0.00000000,0.00000000,-0.06828829,-0.07703016,-0.02017710,-0.05524907,0.05729792,0.03104543,-0.11610691,-0.12027130,-0.12065390,-0.06208844,-0.00640759,-0.04360273,-0.08966232,-0.19756623,-0.01646107,-0.08840641,0.00000000,0.00000000,0.00000000,0,16:49:45.0,0,0
