Control Box No.76(Total),CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,Mark,Time,PreScan,HbOffset
46,0.00000000,0.00000000,0.00000000,0.00000000,-0.07351585,0.00000000,0.00000000,-0.40059608,0.36027393,0.01992256,0.00000000,0.00908727,0.21545750,-0.49204665,0.00197329,0.03763023,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:11.0,0,0
47,0.00000000,0.00000000,0.00000000,0.00000000,-0.03163234,0.00000000,0.00000000,-0.06811330,0.54921347,0.09995630,0.00000000,0.01557483,0.19285432,-0.76881909,0.00210260,0.05779006,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:11.0,0,0
48,0.00000000,0.00000000,0.00000000,0.00000000,-0.03491500,0.00000000,0.00000000,-0.40059608,0.56382757,0.00098367,0.00000000,0.06246026,0.18108614,0.23864618,-0.02901939,0.01790793,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:11.0,0,0
49,0.00000000,0.00000000,0.00000000,0.00000000,-0.02334757,0.00000000,0.00000000,-0.25465387,0.67134434,-0.17299911,0.00000000,0.04611484,0.24573541,0.63944030,-0.07315888,-0.05515257,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:12.0,0,0
50,0.00000000,0.00000000,0.00000000,0.00000000,-0.06337262,0.00000000,0.00000000,-0.32029292,0.46965706,-0.12775031,0.00000000,0.04943742,0.29932380,0.59682405,-0.01191614,0.02432560,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:12.0,0,0
51,0.00000000,0.00000000,0.00000000,0.00000000,-0.03819664,0.00000000,0.00000000,0.03784436,0.33593869,-0.03603980,0.00000000,0.01030286,0.29932380,0.57636511,-0.00853506,0.03918205,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:12.0,0,0
52,0.00000000,0.00000000,0.00000000,0.00000000,0.07284327,0.00000000,0.00000000,0.27585706,0.37421402,-0.13634740,0.00000000,-0.04031847,0.36485061,0.81170154,-0.03758290,0.01007732,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:12.0,0,0
53,0.00000000,0.00000000,0.00000000,0.00000000,-0.01956433,0.00000000,0.00000000,0.27585706,0.42003000,-0.13634740,0.00000000,-0.02363651,0.24573541,1.13299978,-0.07755525,-0.06313051,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:12.0,0,0
54,0.00000000,0.00000000,0.00000000,0.00000000,0.09667437,0.00000000,0.00000000,0.31443593,0.27071649,0.17180833,0.00000000,-0.01062486,0.33350316,1.03723288,-0.00737526,0.00959747,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:13.0,0,0
55,0.00000000,0.00000000,0.00000000,0.00000000,-0.01333767,0.00000000,0.00000000,0.69455284,0.32914203,-0.03603980,0.00000000,-0.03464977,0.33350316,0.49422431,0.01174800,0.05788056,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:13.0,0,0
56,0.00000000,0.00000000,0.00000000,0.00000000,0.01169682,0.00000000,0.00000000,0.71523005,0.42698279,-0.02711244,0.00000000,-0.03604396,0.41235512,0.72464532,-0.00921264,0.02167517,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:13.0,0,0
57,0.00000000,0.00000000,0.00000000,0.00000000,0.01559433,0.00000000,0.00000000,0.48952368,0.25046721,-0.00891502,0.00000000,0.00704814,0.19080344,0.99170291,-0.04581826,-0.03305017,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:13.0,0,0
58,0.00000000,0.00000000,0.00000000,0.00000000,-0.03916824,0.00000000,0.00000000,0.44923019,0.38820243,0.09042396,0.00000000,0.06361920,0.21545750,-0.14390305,-0.00082560,-0.00034762,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:13.0,0,0
59,0.00000000,0.00000000,0.00000000,0.00000000,0.02295047,0.00000000,0.00000000,0.27585706,0.33593869,0.02958414,0.00000000,0.06265879,0.25694737,-0.49204665,0.03159536,0.04908988,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:14.0,0,0
60,0.00000000,0.00000000,0.00000000,0.00000000,0.06227678,0.00000000,0.00000000,-0.87758255,0.34297368,0.17646873,0.00000000,0.02775159,0.30445185,-0.19584906,0.03022721,0.01425905,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:14.0,0,0
61,0.00000000,0.00000000,0.00000000,0.00000000,-0.05152649,0.00000000,0.00000000,-1.76542473,0.32213092,0.07111873,0.00000000,0.02774119,0.35804027,0.43337736,-0.00234839,-0.05857450,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:14.0,0,0
62,0.00000000,0.00000000,0.00000000,0.00000000,-0.11937118,0.00000000,0.00000000,-0.35218424,0.25713161,0.09042396,0.00000000,0.01900761,0.32986394,-0.39608264,0.01057280,-0.06593964,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:14.0,0,0
63,0.00000000,0.00000000,0.00000000,0.00000000,-0.02015588,0.00000000,0.00000000,-0.15357812,0.24027014,-0.03357123,0.00000000,0.01007900,0.48329750,0.08891928,0.04046986,-0.02234828,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:14.0,0,0
64,0.00000000,0.00000000,0.00000000,0.00000000,0.14218079,0.00000000,0.00000000,0.07301025,0.28434759,-0.04402339,0.00000000,-0.01130003,0.47634691,0.10702933,0.03603589,-0.04655088,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:15.0,0,0
65,0.00000000,0.00000000,0.00000000,0.00000000,0.07636043,0.00000000,0.00000000,-0.15357812,0.22678760,-0.10585037,0.00000000,-0.01058893,0.38268015,-0.16091600,-0.00878924,-0.09791729,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:15.0,0,0
66,0.00000000,0.00000000,0.00000000,0.00000000,0.15929526,0.00000000,0.00000000,0.02037606,0.18661074,-0.14660254,-6.47016430,0.00476368,0.34249321,-1.09639204,0.00323184,-0.09175909,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:15.0,0,0
67,0.00000000,0.00000000,0.00000000,0.00000000,0.07124035,0.00000000,0.00000000,-0.08512624,0.02645508,-0.11630253,-8.50810432,-0.01940532,0.34249321,-0.92895055,0.01840636,-0.05790684,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:15.0,0,0
68,0.00000000,0.00000000,0.00000000,0.00000000,0.12167120,0.00000000,0.00000000,-0.35218424,0.02016324,-0.12596412,-5.70468712,-0.03438571,0.28961211,-0.70905483,0.00749914,-0.07594855,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,16:07:15.0,0,0
